Bezeichnung,Kanton,Jahr,Wert,Bemerkungen,Vergleichbar_Vorjahre,Vergleichbar_AndereKantone
Art. 308.2 Feststellung Vaterschaft,SZ,2022,29,NA,TRUE,FALSE
Art. 308.2 Feststellung Vaterschaft,TG,2022,18,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,TI,2022,22,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 308.2 Feststellung Vaterschaft,UR,2022,0,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,VD,2022,2,NA,TRUE,FALSE
Art. 308.2 Feststellung Vaterschaft,VS,2022,39,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,ZG,2022,11,NA,TRUE,TRUE
Art. 308.2 Feststellung Vaterschaft,ZH,2022,343,NA,TRUE,TRUE
Art. 308.2 Unterhalt,AI,2022,4,NA,TRUE,TRUE
Art. 308.2 Unterhalt,AR,2022,14,NA,TRUE,TRUE
Art. 308.2 Unterhalt,BE,2022,439,NA,TRUE,TRUE
Art. 308.2 Unterhalt,BL,2022,26,NA,TRUE,TRUE
Art. 308.2 Unterhalt,BS,2022,37,NA,TRUE,TRUE
Art. 308.2 Unterhalt,FR,2022,48,NA,TRUE,TRUE
Art. 308.2 Unterhalt,GE,2022,509,NA,TRUE,TRUE
Art. 308.2 Unterhalt,GL,2022,7,NA,TRUE,TRUE
Art. 308.2 Unterhalt,GR,2022,12,NA,TRUE,TRUE
Art. 308.2 Unterhalt,JU,2022,14,NA,TRUE,TRUE
Art. 308.2 Unterhalt,LU,2022,147,NA,TRUE,TRUE
Art. 308.2 Unterhalt,NW,2022,4,NA,TRUE,TRUE
Art. 308.2 Unterhalt,OW,2022,11,NA,TRUE,TRUE
Art. 308.2 Unterhalt,SG,2022,148,NA,TRUE,TRUE
Art. 308.2 Unterhalt,SH,2022,16,NA,TRUE,TRUE
Art. 308.2 Unterhalt,SO,2022,57,NA,TRUE,TRUE
Art. 308.2 Unterhalt,SZ,2022,43,NA,TRUE,TRUE
Art. 308.2 Unterhalt,TG,2022,59,NA,TRUE,TRUE
Art. 308.2 Unterhalt,TI,2022,59,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 308.2 Unterhalt,UR,2022,0,NA,TRUE,TRUE
Art. 308.2 Unterhalt,VD,2022,290,NA,TRUE,TRUE
Art. 308.2 Unterhalt,VS,2022,101,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 308.2 Unterhalt,ZG,2022,17,NA,TRUE,TRUE
Art. 308.2 Unterhalt,ZH,2022,608,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,AI,2022,43,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,AR,2022,197,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,BE,2022,3609,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,BL,2022,446,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,BS,2022,266,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,FR,2022,1122,NA,TRUE,TRUE
Art. 308.2 persönlicher Verkehr,GE,2022,1830,NA,TRUE,TRUE
